Title,State,Branch,Street,City,Zip,Country,Contact,Phone,DistrictManager,Active,Latitude,Longitude,BuildingSqft,LotSqft,ParkingSpots,YearBuilt,BlueprintUrl,FloorplanUrl,DocsFolderUrl
SF Bay Area Branch,CA,SF Bay Area,7514 Main St,San Francisco,52613,US,Bruce Wayne,391-555-9640,Lois Lane,TRUE,32.3183,-104.5298,2450,12000,18,2016,,,
Augusta South Branch,GA,Augusta South,8993 Main St,Atlanta,36478,US,Tony Stark,261-555-1921,Harvey Specter,TRUE,36.2845,-111.3826,2450,15000,28,2016,,,
NYC Metro Branch,NY,NYC Metro,9258 Main St,New York,34819,US,Bruce Wayne,898-555-6733,Harvey Specter,TRUE,27.5283,-112.7413,3800,18500,18,2016,,,
Upstate NY Branch,NY,Upstate NY,7449 Main St,Albany,26828,US,Bruce Wayne,719-555-1813,Lois Lane,TRUE,30.5609,-111.3296,2450,12000,28,2012,,,
Buffalo West Branch,NY,Buffalo West,9722 Main St,Albany,40049,US,Tony Stark,421-555-5616,May Parker,TRUE,25.2629,-83.4118,2875,18500,12,2012,,,
Austin Main Branch,TX,Austin Main,9574 Main St,Austin,52747,US,Jessica Pearson,551-555-9684,Lois Lane,TRUE,32.1563,-119.2798,2450,18500,16,2012,,,
NYC Metro Branch,NY,NYC Metro,4042 Main St,Rochester,29006,US,Mike Ross,651-555-8937,Nick Fury,TRUE,43.0438,-119.8701,2450,15000,12,2016,,,
NYC Metro Branch,NY,NYC Metro,8055 Main St,Rochester,97299,US,Peter Parker,543-555-5818,Lois Lane,TRUE,26.1289,-94.4897,3250,22000,28,2016,,,
Upstate NY Branch,NY,Upstate NY,2354 Main St,Rochester,54693,US,Mike Ross,689-555-2355,Harvey Specter,TRUE,42.6376,-120.5552,3800,18500,12,1998,,,
San Antonio West Branch,TX,San Antonio West,1773 Main St,Houston,20812,US,Jessica Pearson,523-555-9412,Sarah Connor,TRUE,25.3009,-99.1425,3250,15000,16,2020,,,
Miami Beach Branch,FL,Miami Beach,7466 Main St,Jacksonville,83931,US,Peter Parker,588-555-9214,May Parker,TRUE,46.1326,-94.1786,3100,18500,28,2012,,,
Augusta South Branch,GA,Augusta South,7034 Main St,Macon,64024,US,John Smith,943-555-9273,May Parker,TRUE,43.6374,-84.6521,3100,30000,12,1998,,,
Upstate NY Branch,NY,Upstate NY,3098 Main St,Buffalo,81054,US,Peter Parker,800-555-5810,Lois Lane,TRUE,36.8384,-71.9994,3250,30000,22,2020,,,
Houston South Branch,TX,Houston South,998 Main St,Houston,38703,US,Mike Ross,270-555-5080,Harvey Specter,TRUE,43.1699,-71.6883,2875,18500,22,1998,,,
Buffalo West Branch,NY,Buffalo West,7899 Main St,Buffalo,41363,US,Jessica Pearson,822-555-5464,Nick Fury,TRUE,31.7021,-92.8227,4100,12000,16,1998,,,
Buffalo West Branch,NY,Buffalo West,1976 Main St,Albany,71187,US,John Smith,222-555-2158,May Parker,TRUE,35.2937,-77.2775,3250,22000,28,2005,,,
Atlanta Central Branch,GA,Atlanta Central,5670 Main St,Macon,66792,US,Mike Ross,478-555-1124,Sarah Connor,TRUE,38.7162,-84.2076,3250,18500,28,2020,,,
San Diego South Branch,CA,San Diego South,6200 Main St,Sacramento,66829,US,Jessica Pearson,565-555-4321,May Parker,TRUE,31.809,-83.5493,2450,22000,28,2016,,,
Tampa Bay Branch,FL,Tampa Bay,9501 Main St,Tampa,51136,US,Mike Ross,873-555-6390,Nick Fury,TRUE,38.3295,-113.6334,3250,30000,28,2005,,,
Buffalo West Branch,NY,Buffalo West,4891 Main St,Buffalo,72316,US,Peter Parker,690-555-2241,Lois Lane,TRUE,26.6072,-100.4803,3100,12000,28,1998,,,
